Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Density (g/cc)	

130	 805	A	  1	H	 1	   1.0	       0.010	         1.495	
130	 805	A	  1	H	 1	   3.0	       0.030	         1.483	
130	 805	A	  1	H	 1	   4.5	       0.045	         1.424	
130	 805	A	  1	H	 1	   6.0	       0.060	         1.498	
130	 805	A	  1	H	 1	   7.2	       0.072	         1.526	
130	 805	A	  1	H	 1	   9.0	       0.090	         1.515	
130	 805	A	  1	H	 1	  10.0	       0.100	         1.533	
130	 805	A	  1	H	 1	  12.0	       0.120	         1.457	
130	 805	A	  1	H	 1	  12.4	       0.124	         1.496	
130	 805	A	  1	H	 1	  14.9	       0.149	         1.491	
130	 805	A	  1	H	 1	  15.0	       0.150	         1.531	
130	 805	A	  1	H	 1	  17.5	       0.175	         1.402	
130	 805	A	  1	H	 1	  18.0	       0.180	         1.509	
130	 805	A	  1	H	 1	  20.2	       0.202	         1.458	
130	 805	A	  1	H	 1	  21.0	       0.210	         1.554	
130	 805	A	  1	H	 1	  22.9	       0.229	         1.526	
130	 805	A	  1	H	 1	  24.0	       0.240	         1.594	
130	 805	A	  1	H	 1	  25.5	       0.255	         1.593	
130	 805	A	  1	H	 1	  27.0	       0.270	         1.477	
130	 805	A	  1	H	 1	  28.3	       0.283	         1.553	
130	 805	A	  1	H	 1	  30.0	       0.300	         1.521	
130	 805	A	  1	H	 1	  31.1	       0.311	         1.552	
130	 805	A	  1	H	 1	  33.0	       0.330	         1.551	
130	 805	A	  1	H	 1	  33.9	       0.339	         1.459	
130	 805	A	  1	H	 1	  35.9	       0.359	         1.538	
130	 805	A	  1	H	 1	  36.5	       0.365	         1.524	
130	 805	A	  1	H	 1	  39.0	       0.390	         1.533	
130	 805	A	  1	H	 1	  39.1	       0.391	         1.488	
130	 805	A	  1	H	 1	  41.3	       0.413	         1.559	
130	 805	A	  1	H	 1	  42.0	       0.420	         1.515	
130	 805	A	  1	H	 1	  44.0	       0.440	         1.504	
130	 805	A	  1	H	 1	  44.9	       0.449	         1.498	
130	 805	A	  1	H	 1	  46.9	       0.469	         1.502	
130	 805	A	  1	H	 1	  48.1	       0.481	         1.562	
130	 805	A	  1	H	 1	  49.5	       0.495	         1.540	
130	 805	A	  1	H	 1	  51.0	       0.510	         1.570	
130	 805	A	  1	H	 1	  52.3	       0.523	         1.620	
130	 805	A	  1	H	 1	  54.0	       0.540	         1.445	
130	 805	A	  1	H	 1	  54.9	       0.549	         1.498	
130	 805	A	  1	H	 1	  57.0	       0.570	         1.539	
130	 805	A	  1	H	 1	  57.7	       0.577	         1.523	
130	 805	A	  1	H	 1	  60.0	       0.600	         1.621	
130	 805	A	  1	H	 1	  60.3	       0.603	         1.624	
130	 805	A	  1	H	 1	  63.1	       0.631	         1.562	
130	 805	A	  1	H	 1	  65.4	       0.654	         1.560	
130	 805	A	  1	H	 1	  66.0	       0.660	         1.465	
130	 805	A	  1	H	 1	  68.3	       0.683	         1.564	
130	 805	A	  1	H	 1	  69.0	       0.690	         1.496	
130	 805	A	  1	H	 1	  71.1	       0.711	         1.487	
130	 805	A	  1	H	 1	  72.0	       0.720	         1.498	
130	 805	A	  1	H	 1	  73.6	       0.736	         1.601	
130	 805	A	  1	H	 1	  75.1	       0.751	         1.513	
